,0_Proportion,1_Proportion,2_Proportion,3_Proportion,4_Proportion,5_Proportion,6_Proportion,7_Proportion,label
263,0.129,0.099,0.094,0.117,0.152,0.135,0.17,0.099,6
264,0.14,0.089,0.083,0.102,0.14,0.134,0.223,0.083,6
265,0.137,0.077,0.125,0.125,0.125,0.113,0.226,0.065,6
266,0.119,0.057,0.094,0.107,0.094,0.17,0.245,0.107,6
267,0.076,0.09,0.083,0.097,0.153,0.174,0.201,0.118,6
268,0.111,0.089,0.096,0.104,0.119,0.148,0.207,0.119,6
269,0.113,0.113,0.106,0.078,0.121,0.177,0.191,0.092,6
270,0.106,0.07,0.106,0.127,0.12,0.113,0.246,0.106,6
271,0.123,0.08,0.109,0.21,0.109,0.13,0.138,0.094,6
272,0.076,0.089,0.121,0.102,0.108,0.14,0.261,0.096,6
273,0.137,0.094,0.108,0.079,0.151,0.158,0.18,0.086,6
274,0.098,0.08,0.11,0.092,0.11,0.221,0.16,0.123,6
275,0.12,0.101,0.089,0.076,0.095,0.139,0.247,0.127,6
276,0.127,0.057,0.12,0.12,0.139,0.152,0.19,0.089,6
277,0.125,0.078,0.102,0.117,0.094,0.156,0.188,0.133,6
278,0.136,0.059,0.142,0.083,0.166,0.154,0.154,0.101,6
279,0.1,0.057,0.164,0.107,0.143,0.157,0.186,0.079,6
